"http://purl.org/dc/elements/1.1/title","http://purl.org/dc/elements/1.1/creator","http://purl.org/dc/elements/1.1/date","http://purl.org/dc/elements/1.1/type","http://purl.org/dc/elements/1.1/source","https://tropy.org/v1/tropy#collection","https://tropy.org/v1/tropy#box","https://tropy.org/v1/tropy#folder","http://purl.org/dc/elements/1.1/identifier","http://purl.org/dc/elements/1.1/rights",Tags,Photos,Notes
"Dokument 01","Basler Rheinschiffahrt-Aktiengesellschaft","1926-02-16","Correspondence","Schweizerisches Wirtschaftsarchiv, CH SWA HS 191 V 10","Basler Rheinschifffahrt-Aktiengesellschaft, insbesondere über die Veräusserung des Dieselmotorbootes ""Rheinfelden" und die Gewährung eines Darlehens zur [...]. 1926-1937","","","https://doi.org/10.7891/e-manuscripta-54917","Public Domain Mark","","0002.jpg;0003.jpg;0004.jpg",""
"Dokument 02","Basler Rheinschiffahrt-Aktiengesellschaft","1926-03-04","Correspondence","Schweizerisches Wirtschaftsarchiv, CH SWA HS 191 V 10","Basler Rheinschifffahrt-Aktiengesellschaft, insbesondere über die Veräusserung des Dieselmotorbootes ""Rheinfelden" und die Gewährung eines Darlehens zur [...]. 1926-1937","","","https://doi.org/10.7891/e-manuscripta-54917","Public Domain Mark","","0005.jpg;0006.jpg;0007.jpg;0008.jpg;0009.jpg",""
"Dokument 03","Basler Rheinschiffahrt-Aktiengesellschaft","1926-03-24","Correspondence","Schweizerisches Wirtschaftsarchiv, CH SWA HS 191 V 10","Basler Rheinschifffahrt-Aktiengesellschaft, insbesondere über die Veräusserung des Dieselmotorbootes ""Rheinfelden" und die Gewährung eines Darlehens zur [...]. 1926-1937","","","https://doi.org/10.7891/e-manuscripta-54917","Public Domain Mark","","0010.jpg;0011.jpg;0012.jpg",""
"Dokument 04","[Herr Dr. W. Krasting,] Internationale Ausstellung für Binnenschiffahrt und Wasserkraftnutzung Basel 1926","1926-03-26","Correspondence","Schweizerisches Wirtschaftsarchiv, CH SWA HS 191 V 10","Basler Rheinschifffahrt-Aktiengesellschaft, insbesondere über die Veräusserung des Dieselmotorbootes ""Rheinfelden" und die Gewährung eines Darlehens zur [...]. 1926-1937","","","https://doi.org/10.7891/e-manuscripta-54917","Public Domain Mark","","0013.jpg",""
"Dokument 05","[Herr P. Christ]","1926-03-29","Correspondence","Schweizerisches Wirtschaftsarchiv, CH SWA HS 191 V 10","Basler Rheinschifffahrt-Aktiengesellschaft, insbesondere über die Veräusserung des Dieselmotorbootes ""Rheinfelden" und die Gewährung eines Darlehens zur [...]. 1926-1937","","","https://doi.org/10.7891/e-manuscripta-54917","Public Domain Mark","","0014.jpg",""
"Dokument 06","","1926-03-29","Correspondence","Schweizerisches Wirtschaftsarchiv, CH SWA HS 191 V 10","Basler Rheinschifffahrt-Aktiengesellschaft, insbesondere über die Veräusserung des Dieselmotorbootes ""Rheinfelden" und die Gewährung eines Darlehens zur [...]. 1926-1937","","","https://doi.org/10.7891/e-manuscripta-54917","Public Domain Mark","","0015.jpg",""
"Dokument 07","Basler Rheinschiffahrt-Aktiengesellschaft","1926-06-22","Correspondence","Schweizerisches Wirtschaftsarchiv, CH SWA HS 191 V 10","Basler Rheinschifffahrt-Aktiengesellschaft, insbesondere über die Veräusserung des Dieselmotorbootes ""Rheinfelden" und die Gewährung eines Darlehens zur [...]. 1926-1937","","","https://doi.org/10.7891/e-manuscripta-54917","Public Domain Mark","","0016.jpg;0017.jpg;0018.jpg;0019.jpg;0020.jpg;0021.jpg;0022.jpg;0023.jpg",""
"Dokument 08","Basler Rheinschiffahrt-Aktiengesellschaft","1926-06-26","Correspondence","Schweizerisches Wirtschaftsarchiv, CH SWA HS 191 V 10","Basler Rheinschifffahrt-Aktiengesellschaft, insbesondere über die Veräusserung des Dieselmotorbootes ""Rheinfelden" und die Gewährung eines Darlehens zur [...]. 1926-1937","","","https://doi.org/10.7891/e-manuscripta-54917","Public Domain Mark","","0024.jpg;0025.jpg;0026.jpg;0027.jpg",""
"Dokument 09","Dr. Max Vischer","1926-06-28","Correspondence","Schweizerisches Wirtschaftsarchiv, CH SWA HS 191 V 10","Basler Rheinschifffahrt-Aktiengesellschaft, insbesondere über die Veräusserung des Dieselmotorbootes ""Rheinfelden" und die Gewährung eines Darlehens zur [...]. 1926-1937","","","https://doi.org/10.7891/e-manuscripta-54917","Public Domain Mark","","0028.jpg;0029.jpg",""
"Dokument 10","Basler Personenschiffahrtsgesellschaft","1926-07-13","Correspondence","Schweizerisches Wirtschaftsarchiv, CH SWA HS 191 V 10","Basler Rheinschifffahrt-Aktiengesellschaft, insbesondere über die Veräusserung des Dieselmotorbootes ""Rheinfelden" und die Gewährung eines Darlehens zur [...]. 1926-1937","","","https://doi.org/10.7891/e-manuscripta-54917","Public Domain Mark","","0030.jpg",""
